id,t0,t1,dur,rms_db,peak_db,f_peak,f_lo,f_hi,centroid,bandwidth,flatness,f0_med,f0_min,f0_max,sweep_st,span_st,f0_conf,shape,am_rate,am_depth
33,17.9147,17.9867,0.072,-50.55,-38.79,3609.4,2250.0,7265.6,4118.7,1584.3,0.00072,3328.0,1204.0,3934.0,-2.19,20.5,4.21,v,23.8,0.034
34,18.6347,19.5253,0.8907,-41.84,-25.74,1781.2,1171.9,6703.1,3158.8,1729.6,0.00018,1504.0,706.0,3892.0,9.93,29.55,6.26,rise,0.0,0.0
35,19.6613,19.776,0.1147,-49.99,-37.95,4078.1,1593.8,7734.4,3878.2,1608.5,0.00093,4078.0,760.0,4456.0,-20.3,30.62,5.74,arch,19.3,-0.143
36,20.2373,20.424,0.1867,-48.36,-38.35,1078.1,984.4,6515.6,1816.4,1923.5,0.00019,1078.0,982.0,1312.0,2.26,5.02,26.29,rise,17.3,-0.123
37,20.6693,20.984,0.3147,-34.4,-22.79,1875.0,1406.2,7218.8,3166.4,1864.3,0.00022,1828.0,766.0,2248.0,7.99,18.64,8.35,arch,9.6,0.117
38,21.1573,21.5333,0.376,-46.7,-30.66,1687.5,1265.6,6234.4,3127.2,1680.0,0.00033,886.0,766.0,2158.0,16.12,17.93,5.77,rise,146.3,0.503
39,21.752,21.9813,0.2293,-43.13,-31.37,1359.4,1125.0,6421.9,2631.8,1674.4,8e-05,1021.0,700.0,1924.0,-6.21,17.5,6.75,fall,10.7,0.027
40,22.1067,22.2053,0.0987,-47.03,-36.74,1593.8,1265.6,5718.8,2336.8,1541.4,0.00045,1546.0,754.0,1642.0,0.53,13.47,11.89,rise,162.2,0.506
41,22.3653,22.88,0.5147,-36.62,-25.69,1687.5,1359.4,7687.5,3115.2,2114.7,0.00022,1732.0,700.0,2152.0,8.48,19.44,13.54,arch,125.0,0.773
42,23.064,23.5787,0.5147,-41.3,-26.78,1781.2,1265.6,6562.5,2838.5,1718.8,0.00023,1780.0,730.0,2248.0,18.38,19.47,6.02,rise,0.0,0.0
43,24.824,25.376,0.552,-41.1,-25.72,1781.2,1359.4,6843.8,3046.0,1723.0,0.00025,1780.0,754.0,3934.0,11.18,28.6,6.89,fall,0.0,0.0
44,25.5013,25.6907,0.1893,-52.91,-38.51,3843.8,2250.0,7968.8,4262.3,1871.3,0.00117,2956.0,1876.0,3940.0,2.48,12.85,4.4,v,15.3,0.023
45,25.9733,26.2373,0.264,-42.72,-30.05,1171.9,1078.1,7078.1,2528.4,1992.3,0.00072,1216.0,700.0,1546.0,1.48,13.72,10.29,complex,0.0,0.0
46,26.6533,27.048,0.3947,-32.72,-24.13,1687.5,1312.5,6328.1,2751.8,1760.1,2e-05,1690.0,748.0,2092.0,7.42,17.81,17.29,arch,122.4,0.77
47,27.2907,27.88,0.5893,-42.07,-26.67,1687.5,1171.9,6328.1,2735.5,1649.8,0.00053,1732.0,718.0,2110.0,8.5,18.66,6.82,rise,0.0,0.0
48,28.656,29.5707,0.9147,-42.88,-25.96,2156.2,1171.9,6562.5,2914.8,1727.9,0.00022,1174.0,730.0,2296.0,11.29,19.84,6.65,arch,0.0,0.0
49,30.1627,30.4267,0.264,-45.09,-32.98,1218.8,1078.1,6328.1,2578.3,1882.9,0.00041,1360.0,700.0,1924.0,0.69,17.5,9.64,arch,10.4,0.098
50,30.568,30.6267,0.0587,-53.57,-40.42,1218.8,1125.0,6000.0,2666.9,1950.6,0.00126,1246.0,1126.0,1324.0,1.03,2.8,10.43,complex,34.1,0.097
51,30.672,30.9787,0.3067,-34.43,-22.66,1828.1,1406.2,6703.1,2970.8,1769.0,0.00015,1828.0,736.0,2254.0,7.99,19.38,9.31,arch,0.0,0.0
52,31.136,31.2587,0.1227,-43.24,-29.82,1687.5,1593.8,6281.2,3182.6,1573.5,8e-05,844.0,736.0,2062.0,0.16,17.84,6.43,v,157.9,0.53
53,31.3307,31.4987,0.168,-45.1,-35.06,1828.1,1218.8,6140.6,2966.0,1722.6,0.00043,1780.0,1078.0,1828.0,6.53,9.14,8.47,arch,153.8,0.681
